role,industry,company_size,lead_source,seniority,growth_rate,lead_score,timing_segment,day_of_week,send_hour,timezone_region,email_replied
Founder,Fintech,large,Inbound,mid,0.378,0.386,Founder|Inbound|Asia,Saturday,18,Asia,0
CTO,Ecommerce,medium,Inbound,executive,0.558,0.456,CTO|Inbound|Asia,Friday,20,Asia,0
HR Director,Healthcare,small,ColdList,junior,0.371,0.243,HR Director|ColdList|US,Friday,13,US,0
VP Sales,SaaS,medium,Referral,junior,0.943,0.575,VP Sales|Referral|Asia,Tuesday,13,Asia,0
HR Director,Ecommerce,medium,Conference,junior,0.303,0.286,HR Director|Conference|US,Monday,17,US,0
CEO,SaaS,enterprise,ColdList,senior,0.51,0.359,CEO|ColdList|Europe,Monday,14,Europe,0
CEO,Healthcare,large,Conference,mid,0.784,0.483,CEO|Conference|Asia,Monday,17,Asia,0
CTO,Ecommerce,enterprise,Referral,executive,0.266,0.44,CTO|Referral|Asia,Tuesday,4,Asia,0
VP Sales,SaaS,large,ColdList,senior,0.916,0.511,VP Sales|ColdList|Europe,Monday,17,Europe,0
CTO,AI,enterprise,Inbound,mid,0.003,0.278,CTO|Inbound|US,Friday,4,US,0
HR Director,Ecommerce,small,LinkedIn,junior,0.632,0.35,HR Director|LinkedIn|Europe,Tuesday,22,Europe,0
CEO,Fintech,large,Conference,mid,0.503,0.412,CEO|Conference|Europe,Friday,19,Europe,0
CTO,SaaS,enterprise,Inbound,mid,0.161,0.274,CTO|Inbound|Europe,Wednesday,22,Europe,0
VP Sales,Ecommerce,large,LinkedIn,executive,0.066,0.33,VP Sales|LinkedIn|Asia,Sunday,11,Asia,0
CTO,Ecommerce,large,LinkedIn,mid,0.844,0.443,CTO|LinkedIn|Asia,Sunday,3,Asia,0
CTO,AI,medium,Conference,junior,0.821,0.433,CTO|Conference|US,Tuesday,6,US,0
Marketing Manager,SaaS,small,Conference,senior,0.906,0.494,Marketing Manager|Conference|US,Sunday,20,US,0
HR Director,AI,large,Referral,mid,0.797,0.461,HR Director|Referral|Europe,Friday,14,Europe,0
VP Sales,AI,medium,Inbound,senior,0.279,0.405,VP Sales|Inbound|Europe,Thursday,3,Europe,0
HR Director,Ecommerce,medium,Conference,mid,0.805,0.382,HR Director|Conference|US,Sunday,17,US,0
CTO,AI,large,LinkedIn,mid,0.352,0.331,CTO|LinkedIn|Asia,Friday,21,Asia,0
Marketing Manager,Fintech,large,Conference,senior,0.524,0.386,Marketing Manager|Conference|Europe,Sunday,7,Europe,0
VP Sales,AI,enterprise,LinkedIn,executive,0.448,0.445,VP Sales|LinkedIn|US,Friday,17,US,0
Founder,Ecommerce,medium,Inbound,senior,0.968,0.605,Founder|Inbound|Europe,Wednesday,7,Europe,0
Marketing Manager,Healthcare,medium,Inbound,junior,0.331,0.337,Marketing Manager|Inbound|Europe,Monday,14,Europe,0
VP Sales,Ecommerce,large,ColdList,junior,0.364,0.317,VP Sales|ColdList|US,Thursday,5,US,1
CTO,Ecommerce,large,ColdList,junior,0.043,0.24,CTO|ColdList|Europe,Saturday,22,Europe,0
CEO,SaaS,small,LinkedIn,executive,0.779,0.557,CEO|LinkedIn|Asia,Thursday,3,Asia,0
Marketing Manager,Healthcare,enterprise,LinkedIn,mid,0.168,0.217,Marketing Manager|LinkedIn|Asia,Monday,12,Asia,0
Marketing Manager,SaaS,medium,LinkedIn,junior,0.667,0.39,Marketing Manager|LinkedIn|Europe,Tuesday,14,Europe,0
CTO,SaaS,medium,Conference,junior,0.079,0.291,CTO|Conference|US,Monday,10,US,0
Marketing Manager,Ecommerce,large,Conference,senior,0.032,0.187,Marketing Manager|Conference|Europe,Wednesday,1,Europe,0
CEO,Healthcare,small,ColdList,senior,0.644,0.384,CEO|ColdList|US,Tuesday,21,US,0
HR Director,Ecommerce,medium,ColdList,junior,0.203,0.189,HR Director|ColdList|US,Friday,3,US,0
CEO,Healthcare,small,Inbound,senior,0.064,0.327,CEO|Inbound|Asia,Friday,9,Asia,1
HR Director,AI,medium,Inbound,senior,0.346,0.352,HR Director|Inbound|Europe,Sunday,7,Europe,0
VP Sales,SaaS,small,LinkedIn,executive,0.964,0.581,VP Sales|LinkedIn|US,Friday,18,US,0
Founder,SaaS,small,Inbound,executive,0.717,0.553,Founder|Inbound|US,Thursday,8,US,0
Founder,AI,medium,Referral,mid,0.57,0.466,Founder|Referral|Asia,Wednesday,9,Asia,0
CTO,SaaS,enterprise,Conference,executive,0.377,0.372,CTO|Conference|Europe,Sunday,5,Europe,0
CTO,SaaS,enterprise,Referral,executive,0.313,0.401,CTO|Referral|US,Tuesday,12,US,1
Founder,SaaS,medium,Inbound,mid,0.219,0.36,Founder|Inbound|Europe,Tuesday,9,Europe,0
CTO,Ecommerce,small,Conference,junior,0.356,0.344,CTO|Conference|Asia,Monday,20,Asia,0
CTO,Fintech,small,LinkedIn,executive,0.393,0.444,CTO|LinkedIn|Asia,Tuesday,4,Asia,0
VP Sales,AI,enterprise,ColdList,mid,0.088,0.236,VP Sales|ColdList|Asia,Friday,23,Asia,0
CEO,Fintech,enterprise,Referral,junior,0.885,0.506,CEO|Referral|Europe,Tuesday,14,Europe,1
VP Sales,SaaS,medium,LinkedIn,executive,0.115,0.31,VP Sales|LinkedIn|US,Sunday,11,US,1
CEO,Healthcare,medium,LinkedIn,mid,0.068,0.265,CEO|LinkedIn|Asia,Friday,3,Asia,1
Marketing Manager,Ecommerce,small,Conference,junior,0.773,0.399,Marketing Manager|Conference|US,Friday,13,US,0
HR Director,Ecommerce,large,Inbound,executive,0.69,0.478,HR Director|Inbound|Asia,Thursday,5,Asia,0
HR Director,SaaS,large,Referral,executive,0.535,0.468,HR Director|Referral|Asia,Sunday,22,Asia,0
Founder,Fintech,enterprise,Referral,senior,0.332,0.361,Founder|Referral|Asia,Wednesday,1,Asia,1
VP Sales,Fintech,small,LinkedIn,mid,0.551,0.364,VP Sales|LinkedIn|Asia,Friday,9,Asia,0
CEO,Fintech,small,ColdList,junior,0.277,0.264,CEO|ColdList|Asia,Thursday,8,Asia,0
Founder,SaaS,small,Conference,senior,0.577,0.392,Founder|Conference|Asia,Saturday,6,Asia,0
CTO,Fintech,small,Referral,junior,0.277,0.345,CTO|Referral|US,Saturday,22,US,0
VP Sales,AI,medium,LinkedIn,mid,0.373,0.345,VP Sales|LinkedIn|US,Tuesday,1,US,0
VP Sales,AI,enterprise,Referral,junior,0.682,0.478,VP Sales|Referral|Europe,Sunday,1,Europe,0
VP Sales,Healthcare,enterprise,ColdList,executive,0.903,0.481,VP Sales|ColdList|Asia,Monday,19,Asia,0
HR Director,Fintech,small,Conference,junior,0.47,0.34,HR Director|Conference|US,Thursday,19,US,0
Founder,Fintech,small,LinkedIn,senior,0.248,0.305,Founder|LinkedIn|Europe,Saturday,17,Europe,0
Founder,SaaS,medium,LinkedIn,executive,0.487,0.429,Founder|LinkedIn|Europe,Friday,1,Europe,0
VP Sales,Healthcare,enterprise,LinkedIn,executive,0.234,0.351,VP Sales|LinkedIn|US,Thursday,4,US,0
CTO,AI,large,ColdList,senior,0.656,0.462,CTO|ColdList|Europe,Thursday,13,Europe,0
CEO,Fintech,enterprise,ColdList,junior,0.302,0.271,CEO|ColdList|US,Friday,12,US,0
CEO,Healthcare,small,LinkedIn,senior,0.969,0.555,CEO|LinkedIn|Europe,Wednesday,6,Europe,0
HR Director,Ecommerce,large,ColdList,mid,0.101,0.209,HR Director|ColdList|Asia,Friday,16,Asia,0
Founder,Ecommerce,small,Inbound,executive,0.148,0.404,Founder|Inbound|Europe,Tuesday,23,Europe,0
Founder,Healthcare,large,Referral,mid,0.56,0.464,Founder|Referral|US,Sunday,7,US,0
VP Sales,Fintech,large,LinkedIn,senior,0.532,0.455,VP Sales|LinkedIn|Europe,Tuesday,7,Europe,1
HR Director,Fintech,small,LinkedIn,senior,0.848,0.41,HR Director|LinkedIn|Europe,Friday,15,Europe,0
VP Sales,Healthcare,large,Conference,senior,0.796,0.524,VP Sales|Conference|Asia,Thursday,18,Asia,0
HR Director,AI,medium,ColdList,mid,0.437,0.264,HR Director|ColdList|Europe,Friday,15,Europe,0
Founder,Healthcare,small,Conference,mid,0.906,0.481,Founder|Conference|US,Tuesday,2,US,0
CTO,Ecommerce,large,Inbound,senior,0.508,0.463,CTO|Inbound|US,Sunday,10,US,0
Marketing Manager,Ecommerce,enterprise,Conference,senior,0.844,0.387,Marketing Manager|Conference|US,Tuesday,3,US,0
CEO,AI,small,ColdList,mid,0.385,0.358,CEO|ColdList|US,Sunday,9,US,0
Founder,Fintech,medium,Referral,executive,0.817,0.556,Founder|Referral|Europe,Wednesday,10,Europe,1
VP Sales,Fintech,enterprise,Referral,junior,0.961,0.542,VP Sales|Referral|US,Saturday,0,US,0
Founder,AI,medium,Referral,junior,0.079,0.28,Founder|Referral|Europe,Saturday,17,Europe,0
CEO,Fintech,large,ColdList,mid,0.433,0.313,CEO|ColdList|Europe,Friday,14,Europe,0
VP Sales,SaaS,small,Conference,mid,0.643,0.382,VP Sales|Conference|Asia,Tuesday,20,Asia,0
HR Director,Fintech,medium,Conference,executive,0.453,0.381,HR Director|Conference|Europe,Friday,13,Europe,1
CTO,SaaS,large,LinkedIn,junior,0.925,0.524,CTO|LinkedIn|Europe,Saturday,22,Europe,0
CTO,SaaS,large,ColdList,junior,0.036,0.194,CTO|ColdList|Asia,Tuesday,15,Asia,0
Marketing Manager,Healthcare,medium,LinkedIn,executive,0.026,0.263,Marketing Manager|LinkedIn|Asia,Wednesday,7,Asia,0
VP Sales,Ecommerce,small,Conference,mid,0.908,0.484,VP Sales|Conference|US,Tuesday,3,US,0
Founder,Healthcare,medium,LinkedIn,mid,0.576,0.389,Founder|LinkedIn|US,Saturday,15,US,0
Marketing Manager,Fintech,medium,Referral,mid,0.151,0.288,Marketing Manager|Referral|US,Saturday,14,US,0
Founder,Fintech,small,ColdList,senior,0.853,0.501,Founder|ColdList|US,Saturday,22,US,0
VP Sales,SaaS,large,LinkedIn,executive,0.397,0.375,VP Sales|LinkedIn|Europe,Monday,17,Europe,0
CTO,Ecommerce,medium,Referral,executive,0.039,0.333,CTO|Referral|US,Monday,15,US,0
Founder,Fintech,medium,LinkedIn,executive,0.666,0.52,Founder|LinkedIn|Europe,Sunday,20,Europe,0
Marketing Manager,Healthcare,enterprise,Referral,senior,0.443,0.341,Marketing Manager|Referral|US,Wednesday,4,US,0
HR Director,Fintech,medium,Referral,junior,0.635,0.388,HR Director|Referral|Europe,Sunday,19,Europe,0
HR Director,Ecommerce,medium,Referral,mid,0.734,0.426,HR Director|Referral|US,Wednesday,12,US,0
Marketing Manager,Fintech,large,LinkedIn,executive,0.242,0.337,Marketing Manager|LinkedIn|Europe,Saturday,23,Europe,0
CTO,Ecommerce,small,ColdList,executive,0.684,0.488,CTO|ColdList|US,Thursday,8,US,0
CEO,Ecommerce,large,LinkedIn,senior,0.148,0.333,CEO|LinkedIn|US,Saturday,2,US,0
Founder,AI,enterprise,Referral,executive,0.657,0.532,Founder|Referral|Europe,Thursday,2,Europe,1
Marketing Manager,AI,small,Referral,junior,0.368,0.299,Marketing Manager|Referral|Europe,Thursday,23,Europe,0
Marketing Manager,AI,enterprise,ColdList,junior,0.57,0.307,Marketing Manager|ColdList|Asia,Saturday,2,Asia,0
Marketing Manager,Healthcare,enterprise,ColdList,mid,0.06,0.108,Marketing Manager|ColdList|US,Sunday,0,US,0
HR Director,SaaS,small,Inbound,executive,0.096,0.269,HR Director|Inbound|US,Saturday,21,US,0
CEO,Healthcare,enterprise,Conference,executive,0.406,0.371,CEO|Conference|Europe,Friday,16,Europe,0
VP Sales,Fintech,small,Inbound,mid,0.132,0.328,VP Sales|Inbound|Asia,Saturday,12,Asia,0
Founder,Ecommerce,enterprise,Inbound,executive,0.352,0.444,Founder|Inbound|US,Sunday,20,US,0
HR Director,AI,medium,LinkedIn,junior,0.63,0.331,HR Director|LinkedIn|Europe,Thursday,10,Europe,0
Founder,AI,medium,Referral,junior,0.145,0.296,Founder|Referral|Asia,Tuesday,3,Asia,0
VP Sales,Healthcare,large,ColdList,executive,0.8,0.511,VP Sales|ColdList|US,Wednesday,15,US,0
Founder,Healthcare,enterprise,ColdList,senior,0.545,0.365,Founder|ColdList|Europe,Sunday,13,Europe,0
Marketing Manager,SaaS,enterprise,Referral,executive,0.891,0.5,Marketing Manager|Referral|US,Thursday,22,US,1
CEO,AI,large,Referral,executive,0.199,0.444,CEO|Referral|Europe,Friday,23,Europe,0
VP Sales,Healthcare,small,LinkedIn,senior,0.137,0.294,VP Sales|LinkedIn|US,Saturday,12,US,0
VP Sales,SaaS,medium,ColdList,senior,0.11,0.264,VP Sales|ColdList|Europe,Friday,5,Europe,0
CTO,AI,large,Inbound,senior,0.612,0.484,CTO|Inbound|Europe,Wednesday,9,Europe,0
Marketing Manager,AI,medium,ColdList,senior,0.786,0.37,Marketing Manager|ColdList|Asia,Sunday,9,Asia,0
CEO,Ecommerce,medium,ColdList,senior,0.578,0.432,CEO|ColdList|Asia,Wednesday,7,Asia,1
Founder,Ecommerce,medium,Referral,mid,0.048,0.274,Founder|Referral|Europe,Wednesday,16,Europe,0
CEO,Ecommerce,large,LinkedIn,mid,0.158,0.255,CEO|LinkedIn|Europe,Monday,18,Europe,0
VP Sales,SaaS,enterprise,ColdList,senior,0.899,0.455,VP Sales|ColdList|US,Friday,11,US,0
Marketing Manager,Healthcare,medium,Referral,junior,0.244,0.304,Marketing Manager|Referral|Europe,Monday,9,Europe,0
CTO,Fintech,medium,Inbound,junior,0.823,0.469,CTO|Inbound|Europe,Tuesday,23,Europe,0
VP Sales,AI,enterprise,ColdList,executive,0.19,0.317,VP Sales|ColdList|Asia,Friday,10,Asia,1
VP Sales,SaaS,medium,LinkedIn,senior,0.706,0.448,VP Sales|LinkedIn|US,Friday,9,US,0
CTO,SaaS,medium,Inbound,senior,0.048,0.289,CTO|Inbound|US,Tuesday,9,US,0
HR Director,Fintech,small,Referral,mid,0.31,0.309,HR Director|Referral|Europe,Wednesday,5,Europe,1
CEO,Healthcare,enterprise,Inbound,executive,0.781,0.533,CEO|Inbound|US,Friday,0,US,0
Marketing Manager,Fintech,large,Conference,junior,0.153,0.235,Marketing Manager|Conference|US,Sunday,20,US,0
Marketing Manager,SaaS,enterprise,ColdList,mid,0.994,0.373,Marketing Manager|ColdList|Europe,Wednesday,6,Europe,0
Marketing Manager,SaaS,medium,Referral,senior,0.422,0.398,Marketing Manager|Referral|Europe,Wednesday,5,Europe,0
CEO,Fintech,medium,Referral,mid,0.624,0.426,CEO|Referral|US,Tuesday,0,US,0
CTO,Fintech,medium,LinkedIn,mid,0.022,0.244,CTO|LinkedIn|Europe,Tuesday,8,Europe,0
HR Director,Healthcare,enterprise,ColdList,junior,0.438,0.261,HR Director|ColdList|Europe,Thursday,4,Europe,0
CEO,SaaS,medium,ColdList,senior,0.211,0.318,CEO|ColdList|US,Monday,5,US,0
VP Sales,Fintech,medium,LinkedIn,mid,0.271,0.286,VP Sales|LinkedIn|US,Sunday,4,US,0
Founder,SaaS,small,Conference,mid,0.958,0.472,Founder|Conference|Europe,Saturday,4,Europe,0
HR Director,Healthcare,large,Inbound,executive,0.73,0.485,HR Director|Inbound|Asia,Monday,15,Asia,0
VP Sales,SaaS,medium,ColdList,junior,0.386,0.321,VP Sales|ColdList|US,Saturday,17,US,0
HR Director,Healthcare,medium,ColdList,junior,0.18,0.225,HR Director|ColdList|US,Wednesday,19,US,0
VP Sales,Healthcare,large,ColdList,mid,0.947,0.45,VP Sales|ColdList|Asia,Thursday,7,Asia,0
CEO,SaaS,medium,LinkedIn,junior,0.979,0.551,CEO|LinkedIn|Europe,Monday,16,Europe,0
HR Director,Ecommerce,enterprise,Inbound,junior,0.67,0.407,HR Director|Inbound|US,Monday,14,US,0
HR Director,Fintech,medium,ColdList,junior,0.588,0.33,HR Director|ColdList|Europe,Friday,19,Europe,0
CTO,Healthcare,small,Referral,mid,0.142,0.31,CTO|Referral|Asia,Thursday,12,Asia,0
CEO,SaaS,large,ColdList,mid,0.144,0.265,CEO|ColdList|Europe,Thursday,5,Europe,0
HR Director,Healthcare,medium,Referral,junior,0.692,0.462,HR Director|Referral|US,Sunday,6,US,0
CTO,AI,enterprise,Inbound,senior,0.012,0.244,CTO|Inbound|US,Thursday,0,US,0
Founder,AI,small,Inbound,senior,0.189,0.334,Founder|Inbound|Europe,Saturday,14,Europe,0
VP Sales,Fintech,medium,Inbound,senior,0.414,0.45,VP Sales|Inbound|Europe,Wednesday,5,Europe,0
CEO,AI,medium,LinkedIn,executive,0.081,0.289,CEO|LinkedIn|Asia,Thursday,11,Asia,1
HR Director,AI,medium,Referral,senior,0.117,0.256,HR Director|Referral|US,Wednesday,13,US,0
HR Director,Ecommerce,enterprise,Referral,executive,0.244,0.35,HR Director|Referral|US,Saturday,23,US,0
Marketing Manager,Fintech,small,Conference,executive,0.076,0.262,Marketing Manager|Conference|Asia,Saturday,8,Asia,0
CTO,Fintech,medium,LinkedIn,mid,0.655,0.405,CTO|LinkedIn|US,Sunday,1,US,0
HR Director,Fintech,small,LinkedIn,mid,0.851,0.408,HR Director|LinkedIn|US,Monday,5,US,0
CTO,AI,medium,Conference,executive,0.536,0.418,CTO|Conference|US,Thursday,9,US,0
Marketing Manager,Ecommerce,small,Conference,senior,0.989,0.447,Marketing Manager|Conference|Asia,Sunday,4,Asia,0
Founder,Healthcare,enterprise,Inbound,executive,0.245,0.401,Founder|Inbound|Europe,Wednesday,16,Europe,0
Marketing Manager,Healthcare,large,LinkedIn,executive,0.724,0.417,Marketing Manager|LinkedIn|Asia,Tuesday,9,Asia,0
VP Sales,Fintech,medium,LinkedIn,mid,0.183,0.255,VP Sales|LinkedIn|US,Wednesday,22,US,0
CEO,SaaS,large,Conference,junior,0.09,0.237,CEO|Conference|Europe,Sunday,19,Europe,0
Founder,Ecommerce,large,Inbound,junior,0.652,0.421,Founder|Inbound|US,Friday,22,US,0
VP Sales,Healthcare,enterprise,LinkedIn,mid,0.706,0.453,VP Sales|LinkedIn|Europe,Monday,0,Europe,0
CEO,Ecommerce,enterprise,Referral,junior,0.004,0.296,CEO|Referral|Europe,Saturday,1,Europe,0
CEO,Ecommerce,small,ColdList,mid,0.925,0.482,CEO|ColdList|US,Sunday,19,US,0
CTO,Healthcare,enterprise,Inbound,executive,0.164,0.385,CTO|Inbound|US,Thursday,13,US,0
CEO,Ecommerce,enterprise,Referral,mid,0.815,0.499,CEO|Referral|US,Thursday,23,US,0
Founder,Healthcare,medium,Conference,executive,0.105,0.367,Founder|Conference|Europe,Thursday,17,Europe,0
CEO,Fintech,medium,Referral,mid,0.717,0.494,CEO|Referral|Asia,Tuesday,3,Asia,0
Marketing Manager,Fintech,enterprise,Inbound,junior,0.528,0.373,Marketing Manager|Inbound|Asia,Wednesday,22,Asia,0
VP Sales,Healthcare,enterprise,LinkedIn,junior,0.422,0.364,VP Sales|LinkedIn|Europe,Saturday,23,Europe,0
Founder,Ecommerce,small,ColdList,mid,0.77,0.434,Founder|ColdList|Europe,Friday,4,Europe,0
Founder,SaaS,large,Inbound,executive,0.58,0.496,Founder|Inbound|US,Friday,20,US,0
CEO,SaaS,medium,Conference,executive,0.369,0.394,CEO|Conference|Asia,Sunday,12,Asia,0
Founder,SaaS,medium,ColdList,executive,0.204,0.332,Founder|ColdList|Asia,Friday,16,Asia,0
CEO,Ecommerce,large,Conference,junior,0.764,0.46,CEO|Conference|US,Saturday,9,US,0
HR Director,Healthcare,medium,Inbound,executive,0.423,0.394,HR Director|Inbound|Europe,Wednesday,2,Europe,1
CTO,Ecommerce,enterprise,ColdList,executive,0.255,0.349,CTO|ColdList|Asia,Wednesday,21,Asia,0
Founder,Fintech,large,LinkedIn,executive,0.462,0.465,Founder|LinkedIn|Asia,Wednesday,14,Asia,0
Founder,Ecommerce,small,Conference,senior,0.776,0.47,Founder|Conference|Europe,Friday,0,Europe,0
HR Director,Ecommerce,enterprise,LinkedIn,senior,0.965,0.452,HR Director|LinkedIn|US,Monday,1,US,1
VP Sales,AI,small,LinkedIn,mid,0.271,0.317,VP Sales|LinkedIn|Europe,Sunday,8,Europe,1
Founder,Ecommerce,medium,LinkedIn,senior,0.482,0.384,Founder|LinkedIn|Asia,Saturday,17,Asia,0
HR Director,SaaS,large,Conference,mid,0.015,0.148,HR Director|Conference|US,Thursday,11,US,0
HR Director,Healthcare,enterprise,LinkedIn,senior,0.645,0.354,HR Director|LinkedIn|Europe,Monday,11,Europe,0
CEO,Healthcare,large,Conference,executive,0.569,0.492,CEO|Conference|Asia,Friday,15,Asia,0
CEO,Healthcare,small,LinkedIn,junior,0.631,0.448,CEO|LinkedIn|Europe,Tuesday,13,Europe,0
Marketing Manager,AI,large,Referral,junior,0.393,0.376,Marketing Manager|Referral|Europe,Wednesday,21,Europe,0
Marketing Manager,Fintech,large,LinkedIn,executive,0.142,0.266,Marketing Manager|LinkedIn|US,Sunday,4,US,0
VP Sales,Fintech,large,Conference,mid,0.184,0.3,VP Sales|Conference|US,Sunday,5,US,0
HR Director,AI,enterprise,LinkedIn,senior,0.499,0.333,HR Director|LinkedIn|Europe,Thursday,12,Europe,0
Founder,Fintech,enterprise,ColdList,mid,0.096,0.195,Founder|ColdList|Asia,Sunday,7,Asia,0
CEO,AI,large,ColdList,mid,0.102,0.199,CEO|ColdList|US,Saturday,19,US,0
CEO,SaaS,small,Conference,mid,0.923,0.536,CEO|Conference|Asia,Saturday,4,Asia,0
Marketing Manager,Ecommerce,medium,Inbound,senior,0.556,0.4,Marketing Manager|Inbound|Europe,Saturday,21,Europe,0
Marketing Manager,Fintech,large,Referral,senior,0.101,0.287,Marketing Manager|Referral|Europe,Monday,16,Europe,0
CTO,AI,small,Inbound,junior,0.363,0.367,CTO|Inbound|Europe,Friday,2,Europe,0
Marketing Manager,Fintech,large,Referral,senior,0.438,0.411,Marketing Manager|Referral|Asia,Friday,23,Asia,0
VP Sales,SaaS,large,Inbound,senior,0.702,0.477,VP Sales|Inbound|US,Friday,14,US,0
CTO,AI,medium,Conference,junior,0.222,0.296,CTO|Conference|US,Monday,16,US,0
CEO,Fintech,medium,Conference,junior,0.513,0.409,CEO|Conference|US,Friday,17,US,0
CEO,Healthcare,enterprise,Referral,junior,0.285,0.335,CEO|Referral|US,Friday,13,US,0
VP Sales,AI,enterprise,ColdList,mid,0.927,0.475,VP Sales|ColdList|Europe,Saturday,7,Europe,0
Founder,Ecommerce,small,ColdList,executive,0.686,0.492,Founder|ColdList|Europe,Tuesday,9,Europe,0
VP Sales,Healthcare,medium,Inbound,executive,0.589,0.472,VP Sales|Inbound|US,Monday,9,US,0
Founder,AI,enterprise,Conference,senior,0.972,0.529,Founder|Conference|Asia,Wednesday,1,Asia,1
CTO,SaaS,small,Inbound,senior,0.48,0.467,CTO|Inbound|Asia,Friday,0,Asia,0
Marketing Manager,Fintech,small,LinkedIn,executive,0.664,0.438,Marketing Manager|LinkedIn|US,Wednesday,9,US,0
Founder,Ecommerce,large,Inbound,executive,0.583,0.526,Founder|Inbound|Asia,Thursday,5,Asia,0
VP Sales,AI,large,Inbound,mid,0.945,0.499,VP Sales|Inbound|Asia,Saturday,3,Asia,0
Founder,Healthcare,small,Referral,senior,0.529,0.501,Founder|Referral|Asia,Tuesday,20,Asia,1
CTO,AI,large,ColdList,senior,0.811,0.461,CTO|ColdList|US,Sunday,8,US,1
VP Sales,Ecommerce,small,LinkedIn,mid,0.726,0.446,VP Sales|LinkedIn|US,Saturday,0,US,0
Founder,SaaS,small,Inbound,mid,0.61,0.423,Founder|Inbound|US,Thursday,17,US,0
CTO,Ecommerce,medium,LinkedIn,executive,0.468,0.403,CTO|LinkedIn|Europe,Monday,11,Europe,0
Founder,Fintech,medium,ColdList,junior,0.628,0.386,Founder|ColdList|Asia,Saturday,10,Asia,0
VP Sales,SaaS,large,Referral,mid,0.673,0.448,VP Sales|Referral|Asia,Monday,23,Asia,0
CTO,SaaS,medium,Inbound,mid,0.853,0.521,CTO|Inbound|US,Thursday,9,US,1
HR Director,Healthcare,small,Inbound,junior,0.69,0.432,HR Director|Inbound|US,Wednesday,17,US,1
Marketing Manager,SaaS,medium,ColdList,mid,0.715,0.383,Marketing Manager|ColdList|US,Tuesday,12,US,0
Founder,Healthcare,medium,Conference,executive,0.14,0.354,Founder|Conference|US,Thursday,2,US,0
Founder,Fintech,medium,ColdList,mid,0.798,0.444,Founder|ColdList|US,Monday,22,US,0
VP Sales,SaaS,large,ColdList,executive,0.666,0.485,VP Sales|ColdList|Europe,Monday,20,Europe,0
VP Sales,Ecommerce,medium,ColdList,senior,0.79,0.444,VP Sales|ColdList|Europe,Monday,3,Europe,0
CTO,Fintech,medium,Conference,executive,0.182,0.359,CTO|Conference|Asia,Monday,5,Asia,0
VP Sales,SaaS,large,Referral,senior,0.177,0.35,VP Sales|Referral|Europe,Monday,12,Europe,0
CTO,SaaS,small,Inbound,executive,0.959,0.585,CTO|Inbound|US,Wednesday,20,US,0
Marketing Manager,Healthcare,large,LinkedIn,senior,0.963,0.484,Marketing Manager|LinkedIn|Asia,Monday,6,Asia,0
CEO,SaaS,large,Referral,executive,0.42,0.497,CEO|Referral|Asia,Thursday,4,Asia,0
Marketing Manager,Healthcare,small,Inbound,mid,0.592,0.382,Marketing Manager|Inbound|US,Sunday,6,US,0
VP Sales,Healthcare,large,Inbound,junior,0.57,0.451,VP Sales|Inbound|Asia,Tuesday,16,Asia,0
VP Sales,AI,large,ColdList,junior,0.856,0.47,VP Sales|ColdList|Asia,Tuesday,10,Asia,0
CTO,Healthcare,large,Referral,junior,0.642,0.509,CTO|Referral|Asia,Thursday,17,Asia,0
Marketing Manager,SaaS,medium,ColdList,mid,0.591,0.316,Marketing Manager|ColdList|US,Sunday,16,US,0
HR Director,AI,medium,Referral,mid,0.405,0.305,HR Director|Referral|Europe,Sunday,15,Europe,0
CTO,Ecommerce,small,Inbound,junior,0.942,0.56,CTO|Inbound|Asia,Wednesday,6,Asia,0
CEO,Ecommerce,medium,Conference,mid,0.349,0.372,CEO|Conference|US,Sunday,5,US,0
CEO,SaaS,small,ColdList,executive,0.462,0.365,CEO|ColdList|Europe,Monday,8,Europe,0
HR Director,Ecommerce,large,LinkedIn,mid,0.16,0.236,HR Director|LinkedIn|Asia,Wednesday,7,Asia,0
Founder,AI,small,Referral,mid,0.751,0.507,Founder|Referral|US,Friday,14,US,0
HR Director,Healthcare,large,Inbound,executive,0.205,0.367,HR Director|Inbound|US,Tuesday,11,US,0
CEO,AI,small,ColdList,mid,0.172,0.284,CEO|ColdList|Asia,Monday,3,Asia,0
VP Sales,Ecommerce,enterprise,LinkedIn,executive,0.215,0.344,VP Sales|LinkedIn|US,Thursday,0,US,0
CTO,Fintech,small,LinkedIn,senior,0.779,0.506,CTO|LinkedIn|Europe,Tuesday,12,Europe,0
VP Sales,Ecommerce,small,LinkedIn,senior,0.465,0.365,VP Sales|LinkedIn|US,Friday,10,US,1
Founder,SaaS,small,Conference,mid,0.615,0.425,Founder|Conference|US,Monday,6,US,0
CEO,Ecommerce,enterprise,Inbound,junior,0.743,0.449,CEO|Inbound|Asia,Thursday,2,Asia,0
Marketing Manager,AI,large,Conference,junior,0.999,0.463,Marketing Manager|Conference|US,Monday,18,US,1
CTO,Healthcare,large,ColdList,mid,0.407,0.307,CTO|ColdList|Europe,Tuesday,7,Europe,0
CEO,AI,medium,LinkedIn,executive,0.015,0.337,CEO|LinkedIn|US,Wednesday,5,US,1
HR Director,SaaS,large,ColdList,executive,0.798,0.443,HR Director|ColdList|Europe,Thursday,5,Europe,0
HR Director,AI,large,LinkedIn,mid,0.923,0.451,HR Director|LinkedIn|US,Thursday,13,US,0
